id,project_id,project_q,sort_order,title,person_q,class_q,first_name,last_name,role,role_wiki,start_date,end_date,website_urls
167,53,Q130247081,4,Dr. Peter Böhnel,Q130253263,Q5,Peter,Böhnel,Kassier (2018),P767,2018,2018,"
"
168,53,Q130247081,5,Brigitte Chymo,Q130253264,Q5,Brigitte,Chymo,Vorstandsmitglied (2018),P767,2018,2018,"
"
169,53,Q130247081,6,Markus Erne,Q130253265,Q5,Markus,Erne,Vorstandsmitglied (2018),P767,2018,2018,"
"
170,53,Q130247081,7,Dietmar Fink,Q130253266,Q5,Dietmar,Fink,Vorstandsmitglied (2018),P767,2018,2018,"
"
171,53,Q130247081,8,Christian Kütemeier,Q130253267,Q5,Christian,Kütemeier,Vorstandsmitglied (2018),P767,2018,2018,"
"
172,53,Q130247081,9,Walter Marbot,Q130253268,Q5,Walter,Marbot,Vorstandsmitglied (2018),P767,2018,2018,"
"
173,53,Q130247081,10,Gerlinde Wasmer,Q130253269,Q5,Gerlinde,Wasmer,Vorstandsmitglied (2018),P767,2018,2018,"
"
174,53,Q130247081,11,Monika Wissler,Q130253270,Q5,Monika,Wissler,Vorstandsmitglied (2018),P767,2018,2018,"
"
175,54,Q130247082,1,Nicola Kazimir,Q130253272,Q5,Nicola,Kazimir,,P767,,,"
"
176,54,Q130247082,2,Walid el Barbir,Q130253273,Q5,Walid,el Barbir,,P767,,,"
"
177,54,Q130247082,3,Flavio Audino,Q130253274,Q5,Flavio,Audino,,P767,,,"
"
178,55,Q130247083,1,IKuZeBa (Interessengemeinschaft Kulturzentrum Baden),,,,,,P767,,,"
"
179,56,Q130247084,1,Christina Jonsson,Q130251846,Q5,Christina,Jonsson,Gründerin,P112,,,"
"
180,56,Q130247084,2,Davide d'Ambrosio,Q130251847,Q5,Davide,d'Ambrosio,Gründer,P112,,,"
"
181,56,Q130247084,3,Mads Freund Brunse,,,,,Collaborateur,P767,,,"
"
182,57,Q130247085,1,Lydia Wilhelm,Q107261296,Mensch,Lydia,Wilhelm,,P767,,,"
"
183,57,Q130247085,2,Nicole Seeberger,Q130253275,Q5,Nicole,Seeberger,,P767,,,"
"
184,58,Q130247086,1,Salome Kuratli,Q130253276,Q5,Salome,Kuratli,,P767,,,"
"
185,59,Q130247087,1,Anja Bruaun,Q130253277,Q5,Anja,Bruaun,Programmation 2016,P767,2016,2016,"
"
186,59,Q130247087,2,Romy Troxler,Q130253280,Q5,Romy,Troxler,Programmation 2016,P767,2016,2016,"
"
187,59,Q130247087,3,Lukas Veraguth,Q115556745,Mensch,Lukas,Veraguth,Programmation 2016,P767,2016,2016,"
"
188,59,Q130247087,4,Olivia Abächerli,Q117458342,Mensch,Olivia,Abächerli,Programmation 2017,P767,2017,2017,"
"
189,59,Q130247087,5,Maya Hottarek,Q115556452,Mensch,Maya,Hottarek,Programmation 2017,P767,2017,2017,"
"
190,59,Q130247087,6,Timon Kurz,Q130253281,Q5,Timon,Kurz,Programmation 2017,P767,2017,2017,"
"
191,59,Q130247087,7,Yvonne Lanz,Q130253282,Q5,Yvonne,Lanz,Programmation 2017,P767,2017,2017,"
"
192,60,Q130247088,1,Max Matter,Q19513475,Mensch,Max,Matter,Beauftragter,P767,,,"
"
193,60,Q130247088,2,Konrad Oehler,Q130253286,Q5,Konrad,Oehler,Beauftragter,P767,,,"
"
194,60,Q130247088,3,Hanspeter Gschwend,Q1583969,Mensch,Hanspeter,Gschwend,Ausschuss,P767,,,"
"
195,60,Q130247088,4,Bernhard Lehner,Q825526,Mensch,Bernhard,Lehner,Ausschuss,P767,,,"
"
196,60,Q130247088,5,Markus Müller,Q112410944,Q5,Markus,Müller,Ausschuss,P767,,,"
"
197,60,Q130247088,6,Guido Nussbaum,Q85100808,Mensch,Guido,Nussbaum,Ausschuss,P767,,,"
"
198,60,Q130247088,7,Claude Perrottet,Q94891650,Mensch,Claude,Perrottet,Ausschuss,P767,,,"
"
199,60,Q130247088,8,Jean Richner,Q130253293,Q5,Jean,Richner,Ausschuss,P767,,,"
"
200,60,Q130247088,9,Peter Schweiger,Q130253294,Q5,Peter,Schweiger,Ausschuss,P767,,,"
"
201,60,Q130247088,10,Konrad Wittmer,Q130253295,Q5,Konrad,Wittmer,Ausschuss,P767,,,"
"
202,60,Q130247088,11,Alfred Zimmerlin,Q1453860,Mensch,Alfred,Zimmerlin,Ausschuss,P767,,,"
"
203,61,Q130247089,1,Bernard Vienat,Q130253296,Q5,Bernard,Vienat,,P767,,,"
"
204,62,Q130247090,1,Beda Büchi,Q130253297,Q5,Beda,Büchi,,P767,,,"
"
205,62,Q130247090,2,Peter Kiefer,Q130253298,Q5,Peter,Kiefer,,P767,,,"
"
206,62,Q130247090,3,Christof Roesch,Q130253299,Q5,Christof,Roesch,,P767,,,"
"
207,63,Q130247091,1,Roman Leu,Q130253300,Q5,Roman,Leu,Director,P767,,,"
"
208,63,Q130247091,2,Catherine Eisendle,Q130253301,Q5,Catherine,Eisendle,Kommunikation,P767,,,"
"
209,64,Q130247092,1,Fondation Krösus / Sammlung Häuser und Wir,Q130253302,collective,,,,P767,,,"
"
210,65,Q130247093,1,Andi Fritschi,Q130253303,Q5,Andi,Fritschi,,P767,,,"
"
